,gender,county,direction,party_preference,education,status,ethnicity,ur,age_group2,Ion_Ceban,Igor_Dodon,Maia_Sandu,Ilan_Shor?,Irina_Vlah,Dorin_Recean,Igor_Grosu,Ion_Cicu,Alexandr_Stoianoglo,Renato_Usatii,Victoria_Furtuna,trust2_Vladimir_Putin,trust2_Volodymyr_Zelensky,trust2_Ursula_von_der_Leyen,trust2_Emanuel_Macron,trust2_Donald_Trump,trust2_EU,trust2_Russia,trust2_NATO,trust2_Romania,trust2_Ukraine,trust2_USA
754,Male,Drochia,No answer,No party,Lower secondary education,Much worse,Moldovan,Rural,40-49,Some confidence,I don't have much confidence,A lot of confidence,I have no confidence,I have no confidence,No answer,I have no confidence,I don't have much confidence,I don't have much confidence,I have no confidence,No answer,I don't have much confidence,No answer,Some confidence,No answer,A lot of confidence,Some confidence,Some confidence,I have no confidence,No answer,No answer,I don't have much confidence
755,Male,Ștefan Vodă,No answer,PAS (Igor Grosu),Higher education,Worse,Romanian,Rural,60+,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,No answer,I don't have much confidence,A lot of confidence,I have no confidence,Some confidence,A lot of confidence,A lot of confidence,Some confidence
756,Male,Mun. Chișinău,Wrong direction,PCRM (Vladimir Voronin),Lower secondary education,Worse,Moldovan,Urban,30-39,I don't have much confidence,I don't have much confidence,I have no confidence,I have no confidence,Some confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence
757,Female,Hîncești,Wrong direction,PSRM (Igor Dodon),Primary education,Worse,Moldovan,Rural,30-39,I have no confidence,Some confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,I don't have much confidence,A lot of confidence,Some confidence,Some confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
758,Female,Cimișlia,Right direction,Undecided,Lower secondary education,About the same,Moldovan,Rural,20-29,A lot of confidence,I have no confidence,A lot of confidence,I have no confidence,Some confidence,Some confidence,Some confidence,I don't have much confidence,No answer,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,A lot of confidence,No answer,No answer,A lot of confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,I don't have much confidence
759,Female,Cahul,Right direction,PSRM (Igor Dodon),Lower secondary education,Worse,Moldovan,Rural,30-39,I don't have much confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I don't have much confidence,I don't have much confidence,No answer,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,Some confidence,Some confidence,No answer,I don't have much confidence,Some confidence,I have no confidence,I don't have much confidence,A lot of confidence,I don't have much confidence,No answer
760,Female,Soroca,Wrong direction,PN (Renato Usatii),Lower secondary education,Much worse,Moldovan,Rural,15-19,Some confidence,I don't have much confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,I don't have much confidence,I don't have much confidence,A lot of confidence,No answer,A lot of confidence,Some confidence,A lot of confidence,Some confidence,Some confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence
761,Female,Florești,Wrong direction,Undecided,Primary education,Much worse,Moldovan,Rural,60+,I have no confidence,Some confidence,I have no confidence,A lot of confidence,Some confidence,No answer,I have no confidence,A lot of confidence,A lot of confidence,Some confidence,A lot of confidence,A lot of confidence,I have no confidence,No answer,No answer,No answer,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence
762,Male,Mun. Chișinău,Wrong direction,PSRM (Igor Dodon),Lower secondary education,Much better,Moldovan,Urban,20-29,Some confidence,Some confidence,I have no confidence,Some confidence,No answer,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I don't have much confidence,No answer,Some confidence,Some confidence,A lot of confidence,A lot of confidence,No answer,Some confidence,I have no confidence,I have no confidence
763,Male,Fălești,Right direction,PN (Renato Usatii),Upper secondary education,Much worse,Moldovan,Rural,20-29,I don't have much confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,Some confidence,A lot of confidence,I don't have much confidence,I have no confidence,I have no confidence,A lot of confidence,I don't have much confidence,Some confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,I don't have much confidence,I have no confidence
764,Female,Ocnița,Wrong direction,PSRM (Igor Dodon),Primary education,Much worse,Ukrainian,Urban,60+,No answer,Some confidence,Some confidence,I don't have much confidence,No answer,Some confidence,Some confidence,A lot of confidence,Some confidence,I don't have much confidence,I don't have much confidence,I have no confidence,No answer,Some confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,I don't have much confidence,I don't have much confidence,A lot of confidence,I don't have much confidence
765,Female,Mun. Chișinău,Wrong direction,PSRM (Igor Dodon),Upper secondary education,Worse,Moldovan,Urban,40-49,I don't have much confidence,A lot of confidence,I have no confidence,Some confidence,A lot of confidence,I don't have much confidence,I have no confidence,A lot of confidence,A lot of confidence,Some confidence,A lot of confidence,A lot of confidence,I have no confidence,No answer,Some confidence,A lot of confidence,I have no confidence,A lot of confidence,I have no confidence,Some confidence,I have no confidence,Some confidence
766,Male,Orhei,Right direction,PAS (Igor Grosu),Lower secondary education,Worse,Moldovan,Rural,50-59,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,Some confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,Some confidence
767,Female,Anenii Noi,Right direction,PAS (Igor Grosu),Upper secondary education,Better,Moldovan,Rural,15-19,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,I have no confidence,A lot of confidence,Some confidence,A lot of confidence,Some confidence
768,Male,Hîncești,Wrong direction,Victorie (Ilan Sor),Upper secondary education,Much worse,Moldovan,Rural,60+,I have no confidence,Some confidence,I have no confidence,Some confidence,Some confidence,No answer,I have no confidence,Some confidence,A lot of confidence,I have no confidence,No answer,A lot of confidence,I have no confidence,No answer,I have no confidence,I don't have much confidence,Some confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,No answer
769,Female,Taraclia,Wrong direction,Victorie (Ilan Sor),Secondary vocational education,Worse,Gagauz,Rural,30-39,Some confidence,I have no confidence,I have no confidence,A lot of confidence,Some confidence,I have no confidence,No answer,I don't have much confidence,A lot of confidence,I have no confidence,No answer,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
770,Female,Hîncești,Right direction,PAS (Igor Grosu),Primary education,No answer,Russian,Urban,60+,Some confidence,I have no confidence,A lot of confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence
771,Female,Florești,Wrong direction,Undecided,Post-secondary vocational education,About the same,Moldovan,Urban,20-29,A lot of confidence,I don't have much confidence,I have no confidence,A lot of confidence,A lot of confidence,No answer,I have no confidence,Some confidence,A lot of confidence,Some confidence,A lot of confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I have no confidence
772,Female,Mun. Bălți,Right direction,No party,Higher education,Much worse,Moldovan,Urban,20-29,I have no confidence,I don't have much confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,No answer,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,No answer,I don't have much confidence,I have no confidence,Some confidence,Some confidence,No answer,Some confidence,I have no confidence,Some confidence
773,Female,Drochia,Right direction,PAS (Igor Grosu),Lower secondary education,About the same,Moldovan,Rural,60+,Some confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,A lot of confidence,A lot of confidence,Some confidence,I don't have much confidence,A lot of confidence,I have no confidence,No answer,A lot of confidence,A lot of confidence,Some confidence
774,Male,Cimișlia,Right direction,PAS (Igor Grosu),Secondary vocational education,Worse,Moldovan,Rural,40-49,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,I don't have much confidence,I have no confidence,Some confidence,No answer,I have no confidence,Some confidence,A lot of confidence,Some confidence,I don't have much confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,Some confidence
775,Male,Cantemir,Wrong direction,PAS (Igor Grosu),Post-secondary vocational education,About the same,Moldovan,Rural,60+,I have no confidence,I have no confidence,Some confidence,I have no confidence,No answer,No answer,Some confidence,I have no confidence,I have no confidence,No answer,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,No answer,I don't have much confidence,A lot of confidence,I don't have much confidence,No answer,I don't have much confidence,Some confidence,I don't have much confidence
776,Male,Mun. Chișinău,Wrong direction,Undecided,Lower secondary education,Much worse,Moldovan,Urban,60+,A lot of confidence,Some confidence,I don't have much confidence,I have no confidence,No answer,I have no confidence,I don't have much confidence,I don't have much confidence,A lot of confidence,No answer,No answer,A lot of confidence,I have no confidence,I don't have much confidence,No answer,I don't have much confidence,Some confidence,Some confidence,No answer,A lot of confidence,A lot of confidence,Some confidence
777,Male,Ștefan Vodă,Wrong direction,No answer,Primary education,Worse,Moldovan,Rural,15-19,A lot of confidence,A lot of confidence,I have no confidence,Some confidence,A lot of confidence,I don't have much confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,No answer,A lot of confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,No answer,A lot of confidence,I don't have much confidence,I don't have much confidence,I have no confidence,A lot of confidence
778,Female,Criuleni,No answer,PAS (Igor Grosu),Higher education,Worse,Moldovan,Rural,20-29,Some confidence,Some confidence,A lot of confidence,I don't have much confidence,Some confidence,Some confidence,No answer,I don't have much confidence,Some confidence,I have no confidence,No answer,Some confidence,I have no confidence,I have no confidence,No answer,Some confidence,Some confidence,I don't have much confidence,I don't have much confidence,Some confidence,I have no confidence,Some confidence
779,Female,Drochia,Wrong direction,PDCM (Ion Chicu),Upper secondary education,Worse,Moldovan,Rural,40-49,Some confidence,Some confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,I don't have much confidence,Some confidence,A lot of confidence,I have no confidence,No answer,No answer,A lot of confidence,Some confidence,A lot of confidence,I have no confidence,Some confidence,I have no confidence,Some confidence
780,Female,Rezina,Right direction,Impreuna Electoral Bloc,Post-secondary vocational education,About the same,Moldovan,Rural,30-39,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,No answer,No answer,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,No answer,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,I don't have much confidence,Some confidence
781,Male,Mun. Chișinău,Right direction,PAS (Igor Grosu),Secondary vocational education,Better,Moldovan,Urban,20-29,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,No answer,Some confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,No answer,I have no confidence,A lot of confidence,I have no confidence,Some confidence,Some confidence,I don't have much confidence,A lot of confidence
782,Female,Sîngerei,Wrong direction,Impreuna Electoral Bloc,Post-secondary vocational education,Worse,Moldovan,Rural,50-59,I have no confidence,I have no confidence,Some confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,No answer,No answer,Some confidence,I don't have much confidence,I have no confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I have no confidence,I have no confidence
783,Male,Ștefan Vodă,Wrong direction,PDCM (Ion Chicu),Post-secondary vocational education,Worse,Moldovan,Rural,50-59,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,I have no confidence,A lot of confidence,Some confidence,Some confidence,No answer,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
784,Female,Briceni,Wrong direction,PN (Renato Usatii),Lower secondary education,Much worse,Moldovan,Rural,15-19,Some confidence,Some confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,A lot of confidence,No answer,A lot of confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,No answer,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
785,Female,Ungheni,Wrong direction,PN (Renato Usatii),Primary education,Much worse,Moldovan,Urban,60+,I don't have much confidence,I have no confidence,I don't have much confidence,A lot of confidence,Some confidence,I have no confidence,No answer,I don't have much confidence,I don't have much confidence,Some confidence,No answer,A lot of confidence,I have no confidence,No answer,Some confidence,A lot of confidence,I don't have much confidence,A lot of confidence,No answer,Some confidence,Some confidence,Some confidence
786,Female,Fălești,Wrong direction,PSRM (Igor Dodon),Without education,Much worse,Ukrainian,Rural,60+,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,Some confidence,Some confidence,I don't have much confidence,A lot of confidence,A lot of confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,Some confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I have no confidence
787,Female,Briceni,No answer,Undecided,Post-secondary vocational education,About the same,Moldovan,Urban,30-39,Some confidence,I don't have much confidence,I don't have much confidence,I have no confidence,No answer,I have no confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,Some confidence,No answer,No answer,Some confidence,Some confidence,I don't have much confidence,Some confidence,Some confidence,I don't have much confidence,A lot of confidence,A lot of confidence,No answer
788,Female,Mun. Chișinău,Right direction,PAS (Igor Grosu),Secondary vocational education,Much worse,Moldovan,Urban,60+,I don't have much confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,Some confidence,Some confidence,Some confidence,Some confidence,A lot of confidence,I have no confidence,A lot of confidence,Some confidence,Some confidence,I don't have much confidence
789,Male,Mun. Chișinău,Right direction,PAS (Igor Grosu),Higher education,About the same,Moldovan,Urban,40-49,I don't have much confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,I have no confidence,I don't have much confidence,No answer,I have no confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,I don't have much confidence,A lot of confidence
790,Female,Edineț,Wrong direction,PDCM (Ion Chicu),Primary education,Worse,Moldovan,Urban,60+,A lot of confidence,Some confidence,No answer,I have no confidence,A lot of confidence,I don't have much confidence,Some confidence,Some confidence,No answer,I have no confidence,No answer,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,No answer,Some confidence,I have no confidence
791,Female,Cantemir,Wrong direction,No party,Secondary vocational education,No answer,Bulgarian,Rural,30-39,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
792,Male,UTA Găgăuzia,Wrong direction,Undecided,Post-secondary vocational education,About the same,Gagauz,Urban,60+,No answer,I don't have much confidence,I have no confidence,No answer,No answer,No answer,I have no confidence,Some confidence,I don't have much confidence,I don't have much confidence,No answer,Some confidence,I have no confidence,No answer,No answer,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,Some confidence,Some confidence,I have no confidence
793,Female,Hîncești,Right direction,PAS (Igor Grosu),Upper secondary education,Better,Moldovan,Rural,60+,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,No answer,A lot of confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,A lot of confidence
794,Female,Mun. Chișinău,Wrong direction,No party,Higher education,Much worse,Moldovan,Urban,40-49,Some confidence,I don't have much confidence,I have no confidence,Some confidence,I have no confidence,No answer,I have no confidence,I don't have much confidence,Some confidence,I have no confidence,No answer,A lot of confidence,I have no confidence,No answer,No answer,I don't have much confidence,Some confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,Some confidence
795,Female,Ialoveni,Right direction,PAS (Igor Grosu),Upper secondary education,Better,Moldovan,Rural,60+,A lot of confidence,Some confidence,A lot of confidence,No answer,I have no confidence,A lot of confidence,A lot of confidence,I don't have much confidence,Some confidence,I have no confidence,No answer,No answer,I don't have much confidence,No answer,Some confidence,No answer,A lot of confidence,Some confidence,Some confidence,Some confidence,A lot of confidence,No answer
796,Female,Mun. Chișinău,Wrong direction,No party,Upper secondary education,Worse,Moldovan,Urban,30-39,A lot of confidence,Some confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,No answer,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence
797,Female,Briceni,Right direction,PN (Renato Usatii),Post-secondary vocational education,Worse,Moldovan,Rural,60+,Some confidence,Some confidence,Some confidence,Some confidence,Some confidence,A lot of confidence,No answer,Some confidence,I have no confidence,A lot of confidence,No answer,I have no confidence,I have no confidence,No answer,I don't have much confidence,I don't have much confidence,A lot of confidence,Some confidence,No answer,A lot of confidence,Some confidence,I don't have much confidence
798,Female,Orhei,Right direction,PAS (Igor Grosu),Upper secondary education,About the same,Moldovan,Rural,40-49,A lot of confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,Some confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,Some confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence
799,Male,Sîngerei,Wrong direction,No party,Upper secondary education,Much worse,Moldovan,Rural,40-49,I have no confidence,I have no confidence,I have no confidence,Some confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I don't have much confidence,I have no confidence,I have no confidence,No answer
800,Male,Mun. Chișinău,Wrong direction,PSRM (Igor Dodon),Primary education,Much worse,Moldovan,Urban,15-19,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I have no confidence,I have no confidence,Some confidence,No answer,I have no confidence,I don't have much confidence,A lot of confidence,I have no confidence,I have no confidence,I don't have much confidence,Some confidence,I don't have much confidence
801,Female,Mun. Chișinău,Wrong direction,PRIM (Irina Vlah),Lower secondary education,Worse,Moldovan,Urban,20-29,Some confidence,I have no confidence,Some confidence,Some confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,Some confidence,Some confidence,Some confidence,I have no confidence,No answer,No answer,I don't have much confidence,Some confidence,Some confidence,Some confidence,A lot of confidence,Some confidence,I don't have much confidence
802,Male,Mun. Chișinău,Wrong direction,PAS (Igor Grosu),Upper secondary education,Much better,Romanian,Urban,30-39,No answer,A lot of confidence,I have no confidence,Some confidence,Some confidence,I don't have much confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,No answer,A lot of confidence,I don't have much confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,No answer,Some confidence,A lot of confidence,A lot of confidence
803,Female,Briceni,Wrong direction,PDCM (Ion Chicu),Secondary vocational education,Worse,Moldovan,Rural,50-59,Some confidence,A lot of confidence,A lot of confidence,Some confidence,A lot of confidence,No answer,I have no confidence,A lot of confidence,Some confidence,Some confidence,No answer,A lot of confidence,No answer,I have no confidence,I have no confidence,I don't have much confidence,No answer,Some confidence,I have no confidence,I have no confidence,I have no confidence,No answer
804,Female,Criuleni,Wrong direction,Other party,Higher education,Better,Moldovan,Rural,40-49,I don't have much confidence,I have no confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I don't have much confidence,I don't have much confidence,Some confidence,I have no confidence,No answer,Some confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,I don't have much confidence,Some confidence,Some confidence
805,Male,Briceni,Right direction,PAS (Igor Grosu),Lower secondary education,Better,Moldovan,Rural,30-39,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,Some confidence
806,Male,Dondușeni,Wrong direction,PSRM (Igor Dodon),Without education,Worse,Ukrainian,Urban,60+,Some confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,I don't have much confidence,No answer,A lot of confidence,I have no confidence,No answer,No answer,I don't have much confidence,Some confidence,A lot of confidence,I don't have much confidence,I have no confidence,I have no confidence,No answer
807,Female,Rezina,Wrong direction,Victorie (Ilan Sor),Secondary vocational education,Much worse,Moldovan,Rural,20-29,No answer,Some confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,Some confidence,A lot of confidence,A lot of confidence,A lot of confidence,No answer,Some confidence,A lot of confidence,Some confidence,A lot of confidence,No answer,Some confidence,I have no confidence,I have no confidence
808,Female,Ungheni,Wrong direction,PCRM (Vladimir Voronin),Lower secondary education,Worse,Moldovan,Rural,50-59,Some confidence,A lot of confidence,Some confidence,Some confidence,A lot of confidence,I have no confidence,No answer,A lot of confidence,Some confidence,A lot of confidence,A lot of confidence,Some confidence,I don't have much confidence,No answer,I have no confidence,Some confidence,Some confidence,Some confidence,I have no confidence,No answer,A lot of confidence,I don't have much confidence
809,Male,Orhei,Wrong direction,Undecided,Lower secondary education,About the same,Moldovan,Rural,20-29,I have no confidence,Some confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,No answer,No answer,No answer,Some confidence,I don't have much confidence,Some confidence,Some confidence,No answer,Some confidence,Some confidence,Some confidence,Some confidence,Some confidence,A lot of confidence,Some confidence,I don't have much confidence
810,Male,Mun. Chișinău,Right direction,PSRM (Igor Dodon),Lower secondary education,Worse,Moldovan,Urban,15-19,A lot of confidence,I have no confidence,I have no confidence,I don't have much confidence,No answer,I have no confidence,I have no confidence,No answer,I don't have much confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,I have no confidence,I don't have much confidence,Some confidence,I have no confidence,No answer,I don't have much confidence,I have no confidence
811,Male,Căușeni,Wrong direction,Victorie (Ilan Sor),Upper secondary education,Much worse,Gagauz,Rural,60+,I don't have much confidence,Some confidence,I have no confidence,A lot of confidence,No answer,I have no confidence,I have no confidence,No answer,Some confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,No answer
812,Female,Mun. Bălți,Wrong direction,Victorie (Ilan Sor),Lower secondary education,About the same,Ukrainian,Urban,60+,I have no confidence,I don't have much confidence,I have no confidence,A lot of confidence,I don't have much confidence,I don't have much confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I don't have much confidence,I have no confidence,No answer,I have no confidence,A lot of confidence,I have no confidence,Some confidence,Some confidence,Some confidence
813,Male,Dubăsari,Wrong direction,Other party,Secondary vocational education,Much worse,Moldovan,Rural,30-39,Some confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,No answer,I don't have much confidence,No answer,Some confidence,Some confidence,I don't have much confidence,Some confidence,I don't have much confidence,I have no confidence,I have no confidence,A lot of confidence,Some confidence,I don't have much confidence,I have no confidence,No answer,I don't have much confidence,Some confidence
814,Female,Mun. Chișinău,Right direction,PAS (Igor Grosu),Secondary vocational education,Better,Moldovan,Rural,50-59,Some confidence,Some confidence,A lot of confidence,I have no confidence,Some confidence,A lot of confidence,A lot of confidence,No answer,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,I don't have much confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,Some confidence
815,Female,Mun. Chișinău,Right direction,PAS (Igor Grosu),Post-secondary vocational education,About the same,Moldovan,Urban,50-59,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,Some confidence,No answer,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence
816,Female,Basarabeasca,No answer,Undecided,Lower secondary education,Worse,Moldovan,Rural,50-59,I don't have much confidence,I don't have much confidence,Some confidence,I have no confidence,Some confidence,No answer,Some confidence,Some confidence,Some confidence,Some confidence,No answer,Some confidence,Some confidence,No answer,Some confidence,A lot of confidence,I don't have much confidence,I don't have much confidence,Some confidence,A lot of confidence,Some confidence,Some confidence
817,Male,Mun. Chișinău,Right direction,Undecided,Upper secondary education,Better,Moldovan,Urban,30-39,A lot of confidence,I don't have much confidence,I don't have much confidence,Some confidence,A lot of confidence,I don't have much confidence,I have no confidence,A lot of confidence,Some confidence,Some confidence,No answer,A lot of confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I don't have much confidence,A lot of confidence,Some confidence,Some confidence,Some confidence,I have no confidence,A lot of confidence
818,Female,Cimișlia,No answer,Impreuna Electoral Bloc,Lower secondary education,Worse,Moldovan,Rural,50-59,I don't have much confidence,I have no confidence,Some confidence,I have no confidence,Some confidence,No answer,I don't have much confidence,Some confidence,I have no confidence,I have no confidence,No answer,I have no confidence,Some confidence,Some confidence,Some confidence,No answer,Some confidence,I don't have much confidence,I don't have much confidence,Some confidence,I don't have much confidence,Some confidence
819,Female,UTA Găgăuzia,Right direction,PAS (Igor Grosu),Upper secondary education,Much worse,Gagauz,Urban,60+,I don't have much confidence,I have no confidence,I have no confidence,A lot of confidence,Some confidence,I don't have much confidence,Some confidence,I have no confidence,I don't have much confidence,I have no confidence,No answer,A lot of confidence,I have no confidence,Some confidence,No answer,I don't have much confidence,Some confidence,A lot of confidence,A lot of confidence,Some confidence,I have no confidence,I don't have much confidence
