,age_group,education,gender,nationality,urban_rural,electoral_district,citizen,ukraina,e-valimised,sündimus,kooselu,sisseränne,valitsus,riigikogu,ajakirjandus,party_preference,vote_power,interest
745,25-34,Secondary education,Female,Other,Urban,Tartu linn,True,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,No party,Rather not,Almost not at all
746,65-74,Secondary education,Female,Other,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Strongly agree,Disagree,Strongly agree,Strongly disagree,Agree,Don't trust at all,Don't trust at all,Don't trust at all,Other,Not at all,A lot
747,35-44,Secondary education,Female,Other,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Don't trust at all,Don't trust at all,Rather not trust,Undecided,Not at all,Somewhat
748,35-44,Basic education,Male,Estonian,Urban,Järva- ja Viljandimaa,True,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Rather not trust,Rather not trust,Rather not trust,Isamaa,Rather yes,Somewhat
749,25-34,Secondary education,Female,Other,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Don't trust at all,Don't trust at all,Rather not trust,Keskerakond,Rather yes,Somewhat
750,35-44,Secondary education,Female,Other,Urban,Ida-Virumaa,True,Strongly agree,Don't know,Agree,Disagree,Don't know,Don't trust at all,Rather not trust,Rather not trust,Keskerakond,Rather yes,A little
751,35-44,Secondary education,Female,Other,Rural,Harju- ja Raplamaa,True,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Don't know,Don't trust at all,Don't trust at all,Don't trust at all,EKRE,Not at all,A little
752,75+,Secondary education,Female,Other,Urban,Ida-Virumaa,True,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Don't know,Trust completely,Rather trust,Rather trust,SDE,Definitely,A lot
753,45-54,Secondary education,Male,Estonian,Urban,Lääne-Virumaa,True,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Don't trust at all,Rather not trust,Rather trust,EKRE,Not at all,Somewhat
754,55-64,Secondary education,Female,Other,Small town,Harju- ja Raplamaa,True,Agree,Disagree,Agree,Agree,Agree,Rather not trust,Neither trust nor distrust,Neither trust nor distrust,SDE,Rather yes,Somewhat
755,45-54,Secondary education,Female,Other,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Strongly agree,Strongly agree,Disagree,Strongly disagree,Agree,Don't trust at all,Don't trust at all,Don't trust at all,Other,Rather not,A little
756,18-24,Basic education,Female,Estonian,,Jõgeva- ja Tartumaa,True,Don't know,Disagree,Don't know,Strongly agree,Disagree,Rather trust,Rather not trust,Rather trust,Undecided,Definitely,A little
757,25-34,Secondary education,Female,Other,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Don't trust at all,Don't trust at all,Don't trust at all,Keskerakond,Not at all,Somewhat
758,45-54,Secondary education,Female,Estonian,Urban,Pärnumaa,True,Strongly disagree,Don't know,Strongly disagree,Strongly disagree,Agree,Rather not trust,Rather not trust,Rather not trust,Isamaa,Rather yes,Somewhat
759,65-74,Secondary education,Female,Other,Tallinn,Mustamäe ja Nõmme,True,Don't know,Agree,Strongly agree,Don't know,Strongly agree,Don't trust at all,Rather not trust,Rather trust,Isamaa,Rather not,A little
760,55-64,Secondary education,Male,Estonian,Small town,Lääne-Virumaa,True,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Don't trust at all,Rather not trust,Rather not trust,EKRE,Rather not,Somewhat
761,35-44,Secondary education,Female,Other,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Don't know,Disagree,Strongly disagree,Agree,Disagree,Neither trust nor distrust,Rather not trust,Trust completely,SDE,Definitely,Somewhat
762,65-74,Secondary education,Female,Estonian,Rural,Järva- ja Viljandimaa,True,Don't know,Strongly disagree,Strongly agree,Disagree,Agree,Rather not trust,Don't trust at all,Neither trust nor distrust,Other,Not at all,Somewhat
763,18-24,Secondary education,Female,Other,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Agree,Don't know,Strongly agree,Agree,Don't know,Don't trust at all,Rather not trust,Neither trust nor distrust,EKRE,Rather yes,A little
764,75+,Secondary education,Female,Other,Rural,Pärnumaa,True,Agree,Agree,Agree,Disagree,Agree,Rather not trust,Rather not trust,Rather not trust,EKRE,Rather not,Somewhat
765,25-34,Secondary education,Female,Estonian,Rural,"Võru-, Valga- ja Põlvamaa",True,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Rather trust,Don't trust at all,Rather trust,Reformierakond,Rather not,Almost not at all
766,45-54,Secondary education,Female,Estonian,Urban,Tartu linn,True,Strongly agree,Agree,Agree,Strongly disagree,Strongly agree,Rather trust,Rather not trust,Don't trust at all,Parempoolsed,Rather not,Somewhat
767,65-74,Secondary education,Female,Other,Tallinn,Mustamäe ja Nõmme,True,Agree,Strongly agree,Strongly agree,Agree,Disagree,Don't trust at all,Rather not trust,Rather not trust,Keskerakond,Rather yes,Somewhat
768,35-44,Secondary education,Female,Other,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Agree,Strongly agree,Agree,Strongly disagree,Don't know,Don't trust at all,Don't trust at all,Don't trust at all,Keskerakond,Rather yes,A little
769,55-64,Secondary education,Female,Other,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Don't know,Strongly agree,Strongly agree,Strongly disagree,Agree,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Keskerakond,Rather not,A lot
770,25-34,Basic education,Male,Estonian,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Disagree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Rather trust,Rather trust,Rather trust,Eesti 200,Rather not,Almost not at all
771,25-34,Basic education,Female,Other,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Agree,Disagree,Agree,Strongly agree,Strongly disagree,Rather not trust,Rather not trust,Rather trust,SDE,Rather not,Somewhat
772,55-64,Secondary education,Male,Estonian,Rural,"Võru-, Valga- ja Põlvamaa",True,Disagree,Strongly agree,Agree,Strongly disagree,Disagree,Don't trust at all,Don't trust at all,Rather trust,Isamaa,Rather not,A lot
773,35-44,Secondary education,Female,Other,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Don't trust at all,Don't trust at all,Don't trust at all,No party,Not at all,Somewhat
774,65-74,Secondary education,Female,Other,Small town,Harju- ja Raplamaa,True,Agree,Agree,Agree,Don't know,Agree,Neither trust nor distrust,Rather not trust,Rather not trust,Undecided,Not at all,A little
775,35-44,Secondary education,Female,Other,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Rather not trust,Rather trust,Rather not trust,Keskerakond,Rather yes,A little
776,55-64,Secondary education,Female,Other,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Rather not trust,Rather not trust,Don't trust at all,Keskerakond,Rather not,A lot
777,35-44,Secondary education,Female,Other,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Strongly agree,Agree,Disagree,Disagree,Agree,Rather not trust,Rather not trust,Rather not trust,Keskerakond,Rather yes,A little
778,65-74,Secondary education,Female,Estonian,Rural,"Võru-, Valga- ja Põlvamaa",True,Strongly agree,Agree,Strongly agree,Strongly disagree,Agree,Don't trust at all,Don't trust at all,Rather not trust,Isamaa,Rather not,A lot
779,18-24,Secondary education,Male,Estonian,Rural,Harju- ja Raplamaa,True,Strongly agree,Don't know,Agree,Don't know,Agree,Rather not trust,Rather not trust,Rather not trust,EKRE,Rather yes,Somewhat
780,25-34,Basic education,Female,Estonian,Rural,Lääne-Virumaa,True,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,EKRE,Not at all,Almost not at all
781,65-74,Secondary education,Male,Estonian,Rural,Lääne-Virumaa,True,Disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Trust completely,Rather trust,Rather not trust,Reformierakond,Definitely,A lot
782,25-34,Secondary education,Female,Estonian,Rural,Järva- ja Viljandimaa,True,Agree,Strongly agree,Agree,Don't know,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,EKRE,Rather not,Somewhat
783,35-44,Secondary education,Male,Estonian,Tallinn,Mustamäe ja Nõmme,True,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Don't know,Rather trust,Neither trust nor distrust,Rather not trust,Parempoolsed,Rather yes,A lot
784,45-54,Higher education,Female,Estonian,Rural,"Võru-, Valga- ja Põlvamaa",True,Disagree,Strongly disagree,Disagree,Agree,Agree,Rather not trust,Rather not trust,Rather trust,Isamaa,Rather yes,A lot
785,45-54,Secondary education,Female,Estonian,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Agree,Strongly agree,Disagree,Agree,Agree,Rather not trust,Rather not trust,Rather not trust,No party,Not at all,Almost not at all
786,45-54,Secondary education,Female,Estonian,Tallinn,Mustamäe ja Nõmme,True,Don't know,Don't know,Don't know,Don't know,Don't know,Neither trust nor distrust,Neither trust nor distrust,Rather not trust,Isamaa,Definitely,Almost not at all
787,65-74,Secondary education,Female,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Disagree,Agree,Disagree,Don't know,Strongly agree,Rather not trust,Rather trust,Trust completely,Isamaa,Rather not,Somewhat
788,18-24,Basic education,Female,Estonian,,Jõgeva- ja Tartumaa,True,Agree,Disagree,Agree,Strongly agree,Don't know,Rather trust,Rather trust,Rather trust,No party,Rather yes,A little
789,35-44,Secondary education,Female,Estonian,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Agree,Agree,Disagree,Strongly agree,Strongly agree,Rather not trust,Rather not trust,Rather not trust,No party,Not at all,A little
790,25-34,Secondary education,Female,Estonian,Rural,Järva- ja Viljandimaa,True,Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,Don't trust at all,Rather not trust,Rather not trust,EKRE,Rather not,A little
791,55-64,Secondary education,Female,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Disagree,Disagree,Disagree,Strongly agree,Agree,Rather not trust,Rather not trust,Rather trust,Undecided,Rather not,A lot
792,18-24,Secondary education,Female,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Disagree,Rather trust,Rather not trust,Rather trust,Other,Rather not,Somewhat
793,55-64,Secondary education,Male,Estonian,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,EKRE,Definitely,A little
794,75+,Secondary education,Female,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Agree,Strongly agree,Agree,Agree,Strongly agree,Rather not trust,Rather not trust,Rather trust,Isamaa,Rather yes,A lot
795,65-74,Secondary education,Male,Estonian,Rural,Harju- ja Raplamaa,True,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Don't trust at all,Rather not trust,Don't trust at all,EKRE,Rather not,A lot
796,25-34,Secondary education,Female,Estonian,Rural,"Võru-, Valga- ja Põlvamaa",True,Agree,Agree,Strongly agree,Strongly agree,Disagree,Rather not trust,Don't trust at all,Rather not trust,Isamaa,Not at all,A little
797,75+,Secondary education,Female,Estonian,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Disagree,Disagree,Disagree,Strongly agree,Agree,Rather trust,Rather trust,Rather trust,Reformierakond,Rather yes,Somewhat
798,25-34,Secondary education,Female,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Rather trust,Rather trust,Rather trust,SDE,Rather yes,A lot
799,55-64,Secondary education,Male,Estonian,Tallinn,Mustamäe ja Nõmme,True,Disagree,Disagree,Agree,Disagree,Strongly agree,Don't trust at all,Rather not trust,Rather trust,Isamaa,Not at all,Somewhat
800,65-74,Secondary education,Female,Estonian,Rural,Järva- ja Viljandimaa,True,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Rather not trust,EKRE,Not at all,A lot
801,75+,Higher education,Male,Estonian,Rural,Harju- ja Raplamaa,True,Disagree,Disagree,Strongly agree,Strongly disagree,Disagree,Trust completely,Rather trust,Rather not trust,Reformierakond,Definitely,A lot
802,75+,Secondary education,Female,Estonian,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Disagree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Rather not trust,Rather not trust,Rather not trust,SDE,Rather yes,A lot
803,75+,Secondary education,Female,Estonian,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Disagree,Rather trust,Rather trust,Rather trust,Isamaa,Rather yes,A lot
804,35-44,Higher education,Female,Estonian,Rural,Harju- ja Raplamaa,True,Disagree,Strongly disagree,Disagree,Strongly agree,Disagree,Rather not trust,Rather not trust,Trust completely,Undecided,Rather yes,Somewhat
805,35-44,Secondary education,Female,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Don't know,Disagree,Strongly disagree,Strongly agree,Disagree,Rather trust,Rather trust,Rather trust,SDE,Rather not,Almost not at all
806,55-64,Secondary education,Male,Estonian,Rural,Järva- ja Viljandimaa,True,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Trust completely,Trust completely,Rather trust,Parempoolsed,Definitely,A lot
807,55-64,Secondary education,Female,Estonian,Tallinn,Mustamäe ja Nõmme,True,Don't know,Strongly disagree,Disagree,Don't know,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,Isamaa,Not at all,A lot
808,65-74,Secondary education,Male,Estonian,Rural,"Võru-, Valga- ja Põlvamaa",True,Disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Rather not trust,Don't trust at all,EKRE,Rather not,A lot
809,75+,Secondary education,Male,Estonian,Tallinn,Mustamäe ja Nõmme,True,Disagree,Don't know,Strongly agree,Disagree,Strongly agree,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Isamaa,Rather not,Somewhat
810,55-64,Secondary education,Male,Estonian,Rural,Lääne-Virumaa,True,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Agree,Rather trust,Don't trust at all,Rather not trust,Reformierakond,Rather yes,A lot
811,55-64,Secondary education,Male,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Disagree,Disagree,Agree,Don't know,Agree,Rather trust,Rather trust,Trust completely,Undecided,Rather yes,A lot
812,65-74,Secondary education,Male,Estonian,Rural,Lääne-Virumaa,True,Agree,Strongly disagree,Strongly agree,Disagree,Disagree,Rather not trust,Rather trust,Rather trust,Isamaa,Rather yes,Somewhat
813,45-54,Secondary education,Male,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,EKRE,Rather yes,Somewhat
814,55-64,Secondary education,Male,Estonian,Tallinn,Mustamäe ja Nõmme,True,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Rather trust,Rather trust,Rather trust,Isamaa,Rather yes,Somewhat
815,55-64,Secondary education,Female,Estonian,Tallinn,Mustamäe ja Nõmme,True,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Disagree,Trust completely,Rather trust,Rather trust,SDE,Rather yes,Somewhat
816,55-64,Secondary education,Female,Estonian,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Agree,Rather trust,Neither trust nor distrust,Neither trust nor distrust,Undecided,Not at all,A little
817,65-74,Secondary education,Female,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Rather trust,Rather not trust,Rather not trust,Reformierakond,Rather not,Somewhat
818,55-64,Secondary education,Female,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,EKRE,Not at all,A little
819,55-64,Secondary education,Female,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Agree,Strongly agree,Don't know,Strongly disagree,Strongly agree,Don't trust at all,Rather not trust,Rather not trust,EKRE,Rather yes,A lot
820,65-74,Secondary education,Female,Estonian,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Don't know,Strongly disagree,Disagree,Don't know,Agree,Rather not trust,Rather not trust,Rather not trust,Isamaa,Not at all,A little
821,65-74,Secondary education,Male,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Rather trust,Rather trust,Isamaa,Definitely,A lot
822,55-64,Secondary education,Male,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Rather trust,Rather trust,Rather trust,Reformierakond,Definitely,A lot
823,75+,Secondary education,Female,Estonian,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Disagree,Disagree,Agree,Strongly disagree,Strongly agree,Rather not trust,Rather trust,Rather trust,SDE,Rather not,A lot
824,45-54,Secondary education,Male,Estonian,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Agree,Strongly disagree,Disagree,Strongly agree,Disagree,Rather not trust,Rather not trust,Rather trust,Parempoolsed,Rather yes,A lot
825,65-74,Secondary education,Male,Estonian,Tallinn,Mustamäe ja Nõmme,True,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Trust completely,Trust completely,Rather trust,Reformierakond,Definitely,Somewhat
826,75+,Secondary education,Female,Estonian,Tallinn,Mustamäe ja Nõmme,True,Agree,Disagree,Disagree,Disagree,Agree,Rather trust,Rather not trust,Rather trust,Isamaa,Rather not,Somewhat
827,35-44,Secondary education,Male,Estonian,Rural,Jõgeva- ja Tartumaa,True,Agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Don't trust at all,Rather not trust,Don't trust at all,EKRE,Not at all,A lot
828,18-24,Secondary education,Female,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Disagree,Strongly disagree,Agree,Agree,Disagree,Rather not trust,Rather trust,Rather not trust,Eesti 200,Rather not,A little
829,55-64,Secondary education,Female,Other,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Strongly disagree,Agree,Agree,Disagree,Don't know,Rather not trust,Rather not trust,Rather not trust,Undecided,Rather not,Almost not at all
830,75+,Secondary education,Female,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Rather trust,Don't trust at all,Rather trust,Reformierakond,Rather not,A lot
831,75+,Secondary education,Female,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Strongly agree,Disagree,Agree,Don't know,Agree,Rather trust,Neither trust nor distrust,Neither trust nor distrust,SDE,Not at all,Somewhat
832,35-44,Secondary education,Female,Estonian,Rural,Lääne-Virumaa,True,Agree,Agree,Strongly agree,Agree,Agree,Rather not trust,Don't trust at all,Don't trust at all,Keskerakond,Rather not,Somewhat
833,75+,Basic education,Male,Estonian,Tallinn,Mustamäe ja Nõmme,True,Agree,Strongly agree,Agree,Don't know,Strongly agree,Don't trust at all,Rather not trust,Don't trust at all,EKRE,Not at all,A lot
834,25-34,Secondary education,Female,Other,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Don't know,Don't trust at all,Don't trust at all,Rather not trust,Keskerakond,Not at all,Somewhat
835,45-54,Secondary education,Male,Estonian,Rural,"Võru-, Valga- ja Põlvamaa",True,Strongly agree,Strongly agree,Don't know,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,EKRE,Rather yes,A lot
836,75+,Secondary education,Male,Estonian,Rural,Jõgeva- ja Tartumaa,True,Strongly agree,Disagree,Agree,Agree,Agree,Rather trust,Rather trust,Rather trust,Eesti 200,Rather not,Somewhat
837,35-44,Higher education,Female,Estonian,Small town,Harju- ja Raplamaa,True,Agree,Disagree,Strongly disagree,Disagree,Agree,Don't trust at all,Don't trust at all,Don't trust at all,No party,Not at all,A little
838,35-44,Secondary education,Male,Estonian,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Disagree,Strongly disagree,Agree,Agree,Agree,Rather trust,Rather not trust,Rather trust,Reformierakond,Rather yes,A little
839,75+,Higher education,Female,Estonian,Rural,"Hiiu-, Lääne- ja Saaremaa",True,Disagree,Disagree,Strongly agree,Disagree,Agree,Rather trust,Rather not trust,Rather trust,Reformierakond,Rather yes,A lot
840,25-34,Basic education,Male,Estonian,Urban,"Võru-, Valga- ja Põlvamaa",True,Don't know,Don't know,Don't know,Don't know,Don't know,Don't trust at all,Don't trust at all,Rather trust,No party,Not at all,A little
841,25-34,Secondary education,Male,Estonian,Tallinn,Mustamäe ja Nõmme,True,Disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Rather trust,Rather not trust,Rather trust,SDE,Rather not,A lot
842,18-24,Secondary education,Male,Estonian,Small town,Pärnumaa,True,Disagree,Strongly disagree,Agree,Strongly agree,Don't know,Rather trust,Rather not trust,Rather trust,SDE,Definitely,A lot
843,45-54,Secondary education,Male,Estonian,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Agree,Agree,Agree,Agree,Agree,Don't trust at all,Rather not trust,Rather not trust,Isamaa,Rather not,Somewhat
844,35-44,Secondary education,Male,Estonian,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Disagree,Strongly disagree,Don't know,Strongly agree,Disagree,Rather trust,Rather trust,Trust completely,SDE,Rather yes,Somewhat
845,75+,Secondary education,Male,Estonian,Tallinn,Mustamäe ja Nõmme,True,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Rather not trust,Rather trust,Rather not trust,EKRE,Rather yes,A lot
846,65-74,Secondary education,Female,Estonian,Tallinn,Mustamäe ja Nõmme,True,Disagree,Strongly disagree,Disagree,Agree,Strongly agree,Don't trust at all,Don't trust at all,Rather trust,Undecided,Rather not,Somewhat
847,55-64,Secondary education,Male,Estonian,Rural,Harju- ja Raplamaa,True,Agree,Disagree,Disagree,Strongly agree,Agree,Rather not trust,Don't trust at all,Rather trust,Isamaa,Rather yes,Somewhat
848,55-64,Secondary education,Female,Estonian,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Rather trust,EKRE,Not at all,A little
849,45-54,Secondary education,Female,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Don't know,Strongly agree,Strongly agree,Disagree,Strongly agree,Rather trust,Don't trust at all,Don't trust at all,Isamaa,Rather not,Somewhat
850,55-64,Secondary education,Male,Estonian,Rural,Järva- ja Viljandimaa,True,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Don't trust at all,Rather not trust,Don't trust at all,EKRE,Rather not,Somewhat
851,75+,Secondary education,Male,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Don't know,Disagree,Disagree,Strongly disagree,Strongly agree,Rather trust,Rather trust,Rather trust,EKRE,Rather not,Somewhat
852,75+,Secondary education,Female,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Rather not trust,Rather not trust,Rather trust,Isamaa,Rather yes,A lot
853,45-54,Secondary education,Male,Estonian,Tallinn,Mustamäe ja Nõmme,True,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Rather trust,Rather not trust,Trust completely,Reformierakond,Rather yes,Somewhat
854,65-74,Secondary education,Male,Estonian,Rural,"Hiiu-, Lääne- ja Saaremaa",True,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Don't know,Neither trust nor distrust,Neither trust nor distrust,Rather trust,Reformierakond,Rather yes,A lot
855,65-74,Secondary education,Male,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Rather not trust,Rather not trust,No party,Not at all,A little
856,35-44,Secondary education,Male,Estonian,Tallinn,Mustamäe ja Nõmme,True,Don't know,Strongly disagree,Strongly agree,Don't know,Disagree,Don't trust at all,Don't trust at all,Rather not trust,Isamaa,Not at all,Somewhat
857,35-44,Secondary education,Male,Estonian,Tallinn,Mustamäe ja Nõmme,True,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Rather trust,Rather not trust,Rather trust,Reformierakond,Definitely,Somewhat
858,25-34,Secondary education,Female,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Rather trust,Rather not trust,Rather not trust,Reformierakond,Rather not,Somewhat
859,75+,Secondary education,Male,Estonian,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Rather trust,Rather trust,Rather trust,Reformierakond,Not at all,Somewhat
860,55-64,Secondary education,Male,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Strongly disagree,Disagree,Strongly agree,Disagree,Agree,Rather not trust,Rather not trust,Rather trust,Isamaa,Rather yes,A lot
861,55-64,Secondary education,Female,Estonian,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Disagree,Strongly agree,Agree,Strongly disagree,Strongly agree,Rather trust,Rather trust,Rather trust,SDE,Rather not,Somewhat
862,45-54,Secondary education,Male,Estonian,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Agree,Strongly disagree,Disagree,Agree,Strongly disagree,Don't trust at all,Rather not trust,Rather trust,Reformierakond,Rather yes,Somewhat
863,75+,Secondary education,Male,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Strongly disagree,Strongly disagree,Agree,Agree,Disagree,Rather trust,Rather trust,Rather not trust,Reformierakond,Rather yes,Somewhat
864,45-54,Secondary education,Female,Estonian,Rural,"Võru-, Valga- ja Põlvamaa",True,Strongly agree,Disagree,Disagree,Disagree,Strongly agree,Rather not trust,Rather not trust,Rather not trust,Isamaa,Rather not,A little
865,65-74,Secondary education,Female,Estonian,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Disagree,Strongly disagree,Agree,Strongly agree,Agree,Don't trust at all,Rather not trust,Rather trust,Isamaa,Not at all,A lot
866,75+,Secondary education,Female,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Strongly agree,Disagree,Don't know,Strongly disagree,Strongly agree,Rather not trust,Rather not trust,Neither trust nor distrust,EKRE,Rather yes,A little
867,25-34,Basic education,Female,Estonian,Rural,"Hiiu-, Lääne- ja Saaremaa",True,Strongly agree,Strongly agree,Strongly agree,Don't know,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,EKRE,Rather yes,Somewhat
868,65-74,Secondary education,Female,Estonian,Rural,"Hiiu-, Lääne- ja Saaremaa",True,Disagree,Disagree,Agree,Strongly disagree,Agree,Rather not trust,Rather not trust,Rather trust,Isamaa,Rather not,A lot
